ChEMBL_ID,SMILES
CHEMBL5074449,C[C@@]1(c2cc(NC(=O)c3ncc(OC(F)F)cc3Cl)ccc2F)CO[C@@](C)(C(F)(F)F)C(N)=N1
CHEMBL4167898,C[C@@]1(c2cc(NC(=O)c3cncnc3)ccc2F)COCC(N)=N1
CHEMBL129964,O=C(/C=C(O)/C=C/c1ccc(O)c(O)c1)/C=C/c1ccc(O)c(O)c1
CHEMBL467216,C=CCc1ccc(Nc2cc(-c3ccccc3)ncn2)cc1NS(C)(=O)=O
CHEMBL3677229,COc1ccc([N+](=O)[O-])c(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)c1
CHEMBL237062,CCCOc1ccc(-c2scc(-c3ccccc3Cl)c2CC(=O)N=C(N)N)cc1
CHEMBL4740797,COC[C@]12C[C@H]1[C@@](C)(c1cc(/C=C(\F)c3ccc(C#N)cn3)ccc1F)N=C(N)S2
CHEMBL3742160,Cc1cc(F)cnc1C(=O)Nc1ccc(F)c([C@]2(C)C[S@@]3(=O)=NCCCCN3C(N)=N2)c1
CHEMBL3634130,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C4CC4)N=C(N)CO[C@@H]3F)c2)cn1
CHEMBL1824133,CN1C(=O)C(c2cccc(-c3cncnc3)c2)(c2cnn(C)c2)N=C1N
CHEMBL3642631,COCc1cc(NC(=O)c2ccc(C)cc2)cc(C2(C)CCSC(N)=N2)c1
CHEMBL2180022,CC1=NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)N=C1N
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
CHEMBL381919,O=C(Nc1cc(Br)ccc1N1CCNCC1)c1cc2ccccc2oc1=O.O=C(O)C(F)(F)F
CHEMBL3926258,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)cc(F)c2Cl)C[C@@H](C(F)(F)F)OC(N)=N1
CHEMBL557352,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\O)cc(N3CCCCS3(=O)=O)c2)c1
