molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled,ROMol
CHEMBL1950045,35.0,nM,OCCc1ccc(O)c(O)c1,7.455931955649724,154.06299418,3,3,0.6325999999999998,True,<rdkit.Chem.rdchem.Mol object at 0x794372119d60>
CHEMBL3673230,35.0,nM,COc1ccc2c(c1)C1(N=C2N)c2cc(C#CC3CC3)ccc2CC12CCC(OC)CC2,7.455931955649724,426.23072819999993,4,1,4.550700000000004,True,<rdkit.Chem.rdchem.Mol object at 0x794372119cf0>
CHEMBL3980268,35.2,nM,COC1CCC2(CC1)Cc1ccc(CCC3CC3)cc1C21NC(N)N(Cc2cccc(NS(C)(=O)=O)c2)C1=O,7.453457336521869,552.27702676,6,3,3.6018000000000017,True,<rdkit.Chem.rdchem.Mol object at 0x794372119c80>
CHEMBL3639876,35.2,nM,N#Cc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(F)c1,7.453457336521869,419.1005375360001,6,2,2.6775800000000007,True,<rdkit.Chem.rdchem.Mol object at 0x794372119c10>
CHEMBL3683856,35.6,nM,NC1=N[C@@](c2cc(NC(=O)c3cnc(OCc4cocn4)cn3)ccc2Cl)(C(F)F)[C@H]2C[C@H]2O1,7.448550002027125,490.096787144,9,2,3.1431000000000022,True,<rdkit.Chem.rdchem.Mol object at 0x794372119ba0>
CHEMBL3925462,36.0,nM,Cc1c(C(=O)Nc2ccc(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc2ccc(Cl)cn12,7.443697499232712,501.0990935640001,6,2,4.518220000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794372119b30>
CHEMBL1934296,36.0,nM,Cc1ccc2c(n1)CCC[C@]21CNC[C@H]1C(=O)N1CC[C@@H](c2ccccc2)C[C@H]1C1CCCCC1,7.443697499232712,471.324962932,3,1,5.538620000000006,True,<rdkit.Chem.rdchem.Mol object at 0x794372119ac0>
CHEMBL2048062,36.0,nM,CC(C)(C)Cn1cc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)cn1,7.443697499232712,604.195424012,8,3,3.6289000000000025,True,<rdkit.Chem.rdchem.Mol object at 0x794372119a50>
CHEMBL3670332,36.0,nM,C=C1C[C@@](C)(c2cc(NC(=O)c3cnc(OC)cn3)cnc2C)N=C(N)S1,7.443697499232712,384.13684488,8,2,2.6214200000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7943721199e0>
CHEMBL565996,36.0,nM,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1Cl,7.443697499232712,406.119653528,5,1,3.440900000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794372119970>
CHEMBL2048037,36.0,nM,CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(N)c(OCC(F)(F)F)c3)[C@@H]2O)c1,7.443697499232712,514.211313196,6,3,3.613800000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794372119900>
CHEMBL2349491,36.0,nM,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cc(Cl)ccc4F)cc32)N=C1N,7.443697499232712,387.1149827480001,4,1,3.689200000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794372119890>
CHEMBL3797680,36.0,nM,CSc1nc(N2C[C@H]3C(=O)N(C)C(=N)N[C@@]3(c3ccc(C#N)s3)C2)nc(C)c1F,7.443697499232712,431.099828416,8,2,1.90727,True,<rdkit.Chem.rdchem.Mol object at 0x794372119820>
CHEMBL3673204,36.0,nM,COC[C@@H](C)NCc1ccc(F)c([C@]23CO[C@@H](c4cnn(C)c4)C[C@H]2CSC(N)=N3)c1,7.443697499232712,447.21042442,8,2,2.7183,True,<rdkit.Chem.rdchem.Mol object at 0x7943721197b0>
CHEMBL3890696,36.0,nM,NC1=N[C@@](c2cc(Nc3ncnc4cc(Cl)cnc34)ccc2F)(C(F)F)COC1,7.443697499232712,422.086971408,7,2,3.4087000000000023,True,<rdkit.Chem.rdchem.Mol object at 0x794372119740>
CHEMBL3670323,36.0,nM,C[C@@]1(c2cc(NC(=O)c3cnc(-n4cncn4)cn3)ccc2F)C=CSC(N)=N1,7.443697499232712,410.10735632000006,9,2,2.2391,True,<rdkit.Chem.rdchem.Mol object at 0x7943721196d0>
CHEMBL3969309,36.0,nM,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cncc(Cl)c3)cc1C21N=C(C)C(N)=N1,7.443697499232712,426.16226728800007,5,1,4.657100000000004,True,<rdkit.Chem.rdchem.Mol object at 0x794372119660>
CHEMBL3653448,36.0,nM,NC1=N[C@@](c2cc(NC(=O)c3ncc(Br)cn3)ccc2F)(C(F)F)COC1,7.443697499232712,443.020471416,6,2,2.478300000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7943721195f0>
CHEMBL2177343,36.0,nM,CC(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2,7.443697499232712,402.169190564,7,1,3.872600000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794372119580>
CHEMBL3261077,36.0,nM,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cc2cccn2C(N)=N1,7.443697499232712,388.1447873840001,6,2,2.78048,True,<rdkit.Chem.rdchem.Mol object at 0x794372119510>
CHEMBL3683815,36.2,nM,NC1=N[C@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)(C(F)F)[C@@H]2C[C@@H]2O1,7.441291429466834,410.07573802799993,5,2,3.3202000000000016,True,<rdkit.Chem.rdchem.Mol object at 0x794372119430>
CHEMBL3683889,36.2,nM,Cc1cc(C#N)cnc1C(=O)Nc1cc(F)c(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,7.441291429466834,431.096058872,6,2,3.2047000000000017,True,<rdkit.Chem.rdchem.Mol object at 0x7943721193c0>
CHEMBL3683915,36.6,nM,NC1=N[C@@](c2cc(NC(=O)c3cnc(OCc4cscn4)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,7.436518914605589,490.103494064,9,2,3.097300000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794372119350>
CHEMBL3683919,36.6,nM,NC1=N[C@@](c2cc(NC(=O)c3ccc(OCc4ncco4)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,7.436518914605589,473.131088716,8,2,3.2338000000000022,True,<rdkit.Chem.rdchem.Mol object at 0x7943721192e0>
CHEMBL3894131,36.6,nM,COC1CCC2(CC1)Cc1ccc(-c3cccc(Cl)c3)cc1C21N=C(N)N(C(C)C)C1=O,7.436518914605589,451.20265488,4,1,4.899100000000004,True,<rdkit.Chem.rdchem.Mol object at 0x794372119270>
CHEMBL3902460,37.0,nM,N#Cc1cnc2c(Nc3cc(F)c(F)c([C@]4(CF)C[C@@H](C(F)(F)F)OC(N)=N4)c3)nccc2c1,7.431798275933005,480.11332838800007,7,2,4.353980000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794372119200>
CHEMBL2403767,37.0,nM,CN1CC(N)=NC(C)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)C1,7.431798275933005,357.13563794,5,2,2.5051000000000005,True,<rdkit.Chem.rdchem.Mol object at 0x794372119190>
CHEMBL3917335,37.0,nM,CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3ccc4[nH]cc(C)c4c3)cc1C21N=C(C)C(N)=N1,7.431798275933005,426.24196158000007,4,2,5.259320000000004,True,<rdkit.Chem.rdchem.Mol object at 0x794372119120>
CHEMBL3922335,37.0,nM,COc1cnc(C(=O)Nc2cc(F)c(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)c(Cl)c1,7.431798275933005,478.083109152,6,2,4.155200000000002,True,<rdkit.Chem.rdchem.Mol object at 0x7943721190b0>
CHEMBL3645168,37.0,nM,CC1(c2cccc(NC(=O)c3ccc(Br)cn3)c2)CCSC(N)=N1,7.431798275933005,404.0306442640001,5,2,3.763200000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794372119040>
CHEMBL3688689,37.0,nM,NC1=N[C@@](c2cc(NC(=O)c3cnc(Cl)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,7.431798275933005,411.070986996,6,2,2.715200000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794372129f90>
CHEMBL3690087,37.0,nM,CN1C(=O)CC(C)(c2cccc(NC(=O)c3cnc(Cl)cn3)c2)N=C1N,7.431798275933005,372.1101514640001,6,2,1.7742999999999998,True,<rdkit.Chem.rdchem.Mol object at 0x794372129f20>
CHEMBL3980733,37.0,nM,N#Cc1ccc(C(=O)Nc2ccc(F)c([C@@]34N=C(N)SC[C@@H]3CCO4)c2)nc1,7.431798275933005,397.100873972,7,2,2.59548,True,<rdkit.Chem.rdchem.Mol object at 0x794372129eb0>
CHEMBL3683853,37.1,nM,NC1=N[C@@](c2cc(NC(=O)c3ccc(Cl)cn3)ccc2Cl)(C(F)F)[C@H]2C[C@H]2O1,7.430626090384954,426.04618748799993,5,2,3.834500000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794372129dd0>
CHEMBL3688743,37.3,nM,Cc1cc(Cl)cnc1C(=O)Nc1ccc(Cl)c([C@@]2(CF)N=C(N)O[C@@H]3C[C@@H]32)c1,7.428291168191312,422.071259364,5,2,3.8473200000000016,True,<rdkit.Chem.rdchem.Mol object at 0x794372129d60>
CHEMBL3979722,37.4,nM,COc1cc(F)c2c(c1)C1(CCOC(N)=N1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1O2,7.42712839779952,468.100060956,7,2,4.219300000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794372129cf0>
CHEMBL4109927,37.5,nM,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)N([C@H](C)c2ccccc2)C1=O,7.425968732272281,467.257277296,4,1,4.693000000000004,True,<rdkit.Chem.rdchem.Mol object at 0x794372129c80>
CHEMBL3688735,37.7,nM,NC1=N[C@@](c2cc(NC(=O)c3ccc(OC(F)F)cn3)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,7.423658649794207,442.10643144,6,2,3.268200000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794372129c10>
CHEMBL3688665,37.7,nM,Cc1cc(OC(F)F)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,7.423658649794207,456.1220815040001,6,2,3.576620000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794372129ba0>
CHEMBL3970029,37.8,nM,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)N(C2CCC2)C1=O,7.422508200162775,417.241627232,4,1,3.484300000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794372129b30>
CHEMBL3650174,37.9,nM,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3cncc(F)c3)C[C@H]2CS1,7.421360790031928,379.096617792,5,1,3.5335000000000027,True,<rdkit.Chem.rdchem.Mol object at 0x794372129ac0>
CHEMBL3653410,38.0,nM,C[C@@H]1OC[C@](c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)(C(F)F)N=C1N,7.42021640338319,456.0408725120001,5,2,3.471800000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794372129a50>
CHEMBL569609,38.0,nM,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@]1(c2cccc(C(C)(C)C)c2)CC[C@@H](CO)CC1,7.42021640338319,502.30069958,4,4,4.338000000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7943721299e0>
CHEMBL250918,38.0,nM,CN(c1cc2cc(c1)C(=O)N[C@@H](c1ccccc1)CCc1cccc(c1)C[C@@](C)(N)C(=O)OC2)S(=O)(=O)C(F)(F)F,7.42021640338319,589.1858267199999,6,2,4.3930000000000025,True,<rdkit.Chem.rdchem.Mol object at 0x794372129970>
CHEMBL3914410,38.0,nM,N#Cc1cnc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)c(F)c1,7.42021640338319,475.087922164,6,2,3.4535800000000005,True,<rdkit.Chem.rdchem.Mol object at 0x794372129900>
CHEMBL1097346,38.0,nM,CCNc1cc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2CN(S(=O)(=O)c3cccc(C)c3)CCN2)cc(N(C)S(C)(=O)=O)c1,7.42021640338319,679.2309824079999,8,4,2.4655200000000006,True,<rdkit.Chem.rdchem.Mol object at 0x794372129890>
CHEMBL4127807,38.0,nM,NC1=N[C@@](c2cccc(NC(=O)c3ccc(Br)cn3)c2)(C(F)F)COC1,7.42021640338319,424.03464426,5,2,2.9442000000000013,True,<rdkit.Chem.rdchem.Mol object at 0x794372129820>
CHEMBL557352,38.0,nM,COc1cccc(CNC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(/C(C)=N\O)cc(N3CCCCS3(=O)=O)c2)c1,7.42021640338319,630.2323623120001,8,4,3.5934000000000026,True,<rdkit.Chem.rdchem.Mol object at 0x7943721297b0>
CHEMBL4073296,38.0,nM,CO[C@@H]1CCN(Cc2cc([C@]3(C)CCSC(N)=N3)c(F)cc2F)C1,7.42021640338319,355.152989796,5,1,2.8523000000000005,True,<rdkit.Chem.rdchem.Mol object at 0x794372129740>
CHEMBL5178174,38.0,nM,C[C@@]1(S(C)(=O)=O)CC[C@@](CF)(c2nc(-c3cnc(OCF)cn3)ccc2F)N=C1N,7.42021640338319,443.1238951600001,8,1,2.1026,True,<rdkit.Chem.rdchem.Mol object at 0x7943721296d0>
CHEMBL2425600,38.0,nM,COC[C@@H](Oc1cc(C[C@@H]2C[S@@+]([O-])C[C@H](NCc3cc(C(C)(C)C)ccc3F)[C@H]2O)cc(F)c1N)C(F)(F)F,7.42021640338319,578.2237696999999,6,3,4.2409000000000034,True,<rdkit.Chem.rdchem.Mol object at 0x794372129660>
CHEMBL3656146,38.3,nM,COc1cc(Cl)cc(-c2ccc3c(c2)C2(N=C(N)N(C)O2)C2(CCc4ccccc4CC2)C3)c1,7.416801226031377,473.187004816,5,1,5.481600000000005,True,<rdkit.Chem.rdchem.Mol object at 0x7943721295f0>
CHEMBL4205912,38.4,nM,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)CCC[C@H]2CS1,7.415668775632469,388.116938636,5,2,3.669000000000003,True,<rdkit.Chem.rdchem.Mol object at 0x794372129580>
CHEMBL3955331,38.5,nM,COC1CCC2(CC1)Oc1ccc(OCC(F)(F)F)cc1C21N=C(N)N(C)C1=O,7.414539270491499,413.156240844,6,1,2.3299000000000003,True,<rdkit.Chem.rdchem.Mol object at 0x794372129510>
CHEMBL3683880,38.9,nM,NC1=N[C@@](c2cc(NC(=O)c3ncc(Cl)cc3F)ccc2F)(C(F)F)[C@H]2C[C@H]2O1,7.410050398674292,428.066316216,5,2,3.4593000000000016,True,<rdkit.Chem.rdchem.Mol object at 0x794372129430>
CHEMBL3127090,39.0,nM,CN1C(=O)[C@]2(N=C1N)c1cc(-c3cncnc3)ccc1O[C@H]1CCOC[C@@H]12,7.4089353929735005,365.148789468,7,1,0.9230999999999993,True,<rdkit.Chem.rdchem.Mol object at 0x7943721293c0>
CHEMBL3414707,39.0,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2ccc(F)cc2F)CO1,7.4089353929735005,298.09514057199993,4,1,2.646600000000001,True,<rdkit.Chem.rdchem.Mol object at 0x794372129350>
CHEMBL2403768,39.0,nM,C[C@@]1(c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)CCOC(N)=N1,7.4089353929735005,396.0556093,5,2,3.730000000000001,True,<rdkit.Chem.rdchem.Mol object at 0x7943721292e0>
CHEMBL3656205,39.0,nM,CCCCCc1ccc2c(c1)C1(N=C(N)N(C(C)C)C1=O)[C@]1(CC[C@H](OC)CC1)C2,7.4089353929735005,411.288577424,4,1,4.311400000000004,True,<rdkit.Chem.rdchem.Mol object at 0x794372129270>
CHEMBL3920625,39.0,nM,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](c3ccc(F)cc3F)C[C@H]2CS1,7.4089353929735005,396.091947012,4,1,4.277600000000003,True,<rdkit.Chem.rdchem.Mol object at 0x794372129200>
CHEMBL3925196,39.0,nM,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(OCCCF)cc1C21N=C(C)C(N)=N1,7.4089353929735005,391.2071335440001,5,1,3.680100000000002,True,<rdkit.Chem.rdchem.Mol object at 0x794372129190>
CHEMBL227053,39.0,nM,CC(C)Nc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN[C@@H](C)C(=O)NC2CCCCC2)cc(N2CCCC2=O)c1,7.4089353929735005,577.362804984,6,5,3.7627000000000015,True,<rdkit.Chem.rdchem.Mol object at 0x794372129120>
CHEMBL248056,39.0,nM,CCCC[C@H](N)[C@H](Cc1ccccc1)NC(=O)c1cc(N(C)C[C@H]2C[C@@H]2C)nc(N(CCC)S(C)(=O)=O)c1,7.4089353929735005,543.3243113,6,2,4.208400000000004,True,<rdkit.Chem.rdchem.Mol object at 0x7943721290b0>
CHEMBL2349490,39.0,nM,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cc(F)cc(Cl)c4)cc32)N=C1N,7.4089353929735005,387.1149827480001,4,1,3.689200000000002,True,<rdkit.Chem.rdchem.Mol object at 0x79437210e040>
CHEMBL387771,39.0,nM,CC(C)C[C@H](NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NC(C)C)C(C)C,7.4089353929735005,701.3822200999998,7,5,3.770400000000004,True,<rdkit.Chem.rdchem.Mol object at 0x79437210e0b0>
CHEMBL3985357,39.0,nM,C[C@@]1(c2cc(NC(=O)c3ncc(Cl)cc3F)cc(F)c2F)C[C@@H](C(F)(F)F)OC(N)=N1,7.4089353929735005,466.0631226560001,5,2,4.285700000000002,True,<rdkit.Chem.rdchem.Mol object at 0x79437210e120>
CHEMBL3653422,39.0,nM,Cc1cc(Br)cnc1C(=O)Nc1ccc(F)c(C2(CF)COCC(N)=N2)c1,7.4089353929735005,438.0502943240001,5,2,3.09612,True,<rdkit.Chem.rdchem.Mol object at 0x79437210e190>
