molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL3915849,5870.0,nM,N#Cc1cccnc1Oc1ccc(F)c([C@]2(CF)C[C@@H](C(F)(F)F)OC(N)=N2)c1,5.231361898752385,412.095866756,6,1,3.7153800000000015,True
CHEMBL4111546,5870.0,nM,COc1cc(C#N)cc(-c2ccc3c(c2)[C@]2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1,5.231361898752385,428.221226136,6,1,4.349880000000003,True
CHEMBL4758274,5880.0,nM,O=C(N/N=C/c1ccccc1O)N1CCN(c2ccccn2)CC1,5.230622673923861,325.15387484800004,5,2,1.6529,True
CHEMBL252262,5890.0,nM,CCNc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCC2CCCCC2)cc(N2CCCC2=O)c1,5.229884705212898,506.325691204,5,4,4.117100000000003,True
CHEMBL555054,5900.0,nM,CC(C)[C@H](NC(=O)CCC(O)(Cc1ccccc1)C(=O)Nc1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1,5.229147988357856,773.3258480960001,7,5,4.862200000000003,True
CHEMBL201802,5900.0,nM,CN(c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(C(O)c2ccccc2)c1)S(C)(=O)=O,5.229147988357856,537.2297422199998,6,4,2.6181,True
CHEMBL2011994,5900.0,nM,CN1C(=N)NC(c2cccc(-c3cccc(Cl)c3)c2)(c2ccccn2)C1=O,5.229147988357856,376.109088844,3,2,3.6419700000000015,True
CHEMBL3670928,5900.0,nM,Cc1ccc(Nc2ccc(F)c([C@@]3(C)N=C(N)COC(C)(C)C3(F)F)c2)cn1,5.229147988357856,392.18239601600004,5,2,4.289220000000003,True
CHEMBL211937,5900.0,nM,C[C@@H](NC(=O)c1cc(C(=O)N[C@H](CN)Cc2ccccc2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,5.229147988357856,526.2050046919999,5,3,3.0123000000000024,True
CHEMBL4443013,5900.0,nM,Oc1ccc(CNC2CCN(Cc3ccccc3)CC2)c(O)c1,5.229147988357856,312.18377800799993,4,3,2.852000000000001,True
